customer_id,signup_date,isbn,event_id,event_date,event_time,non_book_upc
cust_00001,2026-03-02,978-1-19116-146-3,,,,
cust_00002,2025-12-18,978-1-40512-987-1,,,,
cust_00003,2026-03-21,978-0-69429-750-5,,,,
cust_00004,2025-08-10,978-0-56566-314-4,,,,
cust_00005,2025-05-09,978-1-80010-846-3,,,,
cust_00006,,978-0-59735-376-8,evt_3599,2026-01-23,09:15,
cust_00007,2025-03-29,978-0-62581-374-1,evt_3457,2026-01-13,12:45,
cust_00008,2026-04-06,978-0-28726-371-2,,,,
cust_00009,2025-11-04,978-0-86622-538-9,,,,
cust_00010,2026-04-09,978-0-38746-241-8,,,,
cust_00011,2026-07-15,9781161759811,,,,
cust_00012,2025-07-31,978-1-99192-532-9,,,,
cust_00013,2025-05-01,978-0-60019-710-7,,,,
cust_00014,2025-11-09,978-1-99166-838-1,,,,845146270482
cust_00015,2026-07-29,978-1-91959-405-8,,,,
cust_00003,2025-09-16,978-1-59009-880-2,,,,880957015430
cust_00017,2025-10-29,978-1-21226-849-7,evt_1134,2025-07-03,11:45,824896383465
cust_00018,2026-05-19,978-0-25860-353-3,,,,
cust_00019,2025-05-01,978-0-12757-702-8,,,,
cust_00020,2025-10-18,978-1-10942-172-0,evt_3751,2025-05-05,09:30,183473829973
cust_00021,2026-06-24,978-0-34957-196-1,evt_9999,,,
cust_00022,2026-05-12,978-0-65519-520-7,,,,
cust_00023,2025-04-21,978-1-17944-512-5,evt_1791,2025-11-06,12:15,
cust_00024,2026-05-30,978-1-65296-287-4,,,,
cust_00025,2026-06-13,978-1-19880-553-8,evt_1605,2025-04-17,19:00,132677360260
cust_00026,2026-03-31,978-0-69638-392-6,evt_9106,2026-07-08,11:15,
cust_00027,2025-12-25,978-1-17665-693-8,,,,050097882081
cust_00028,2025-09-03,978-1-87992-169-3,evt_6616,2025-06-27,18:15,
cust_00029,2025-04-06,978-1-64948-773-9,evt_9261,2026-08-14,14:30,
cust_00030,2025-09-22,978-0-41285-371-6,,,,
